股票代码,股票名称,所属行业,概念板块,地区,总股本,流通股
sh600067,冠城新材,电网设备,"参股银行,预盈预增,锂电池,融资融券,新能源车,储能,破净股,2025中报扭亏",福建,1391668739.0,1391668739.0
sh600071,凤凰光学,光学光电子,"机构重仓,物联网,预盈预增,锂电池,融资融券,国家安防,央国企改革,沪股通,2025中报扭亏",江西,281573889.0,281573889.0
sh600072,中船科技,风电设备,"军工,预亏预减,长江三角,风能,融资融券,海工装备,央国企改革,沪股通,航母概念,PPP模式,富时罗素,标准普尔",上海,1506521728.0,1083337316.0
sh600073,光明肉业,食品饮料,"长江三角,融资融券,沪企改革,央国企改革,沪股通,富时罗素,标准普尔,猪肉概念,预制菜概念",上海,937729472.0,937729472.0
sh600075,新疆天业,化学原料,"煤化工,转债标的,机构重仓,预亏预减,西部大开发,融资融券,央国企改革,沪股通,一带一路,标准普尔,降解塑料,破净股",新疆,1707362663.0,1707362663.0
sh600076,康欣新材,装修建材,"新材料,预亏预减,融资融券,央国企改革,装配建筑,碳交易,低价股,破净股",山东,1344543367.0,1344543367.0
sh600078,澄星股份,化肥行业,"化工原料,预盈预增,长江三角,磷化工,2025中报扭亏",江苏,662572861.0,662572861.0
sh600079,人福医药,化学制药,"参股券商,参股银行,生物疫苗,融资融券,医疗器械概念,中证500,上证380,沪股通,MSCI中国,体外诊断,富时罗素",湖北,1632225965.0,1543178770.0
sh600080,金花股份,中药,"预盈预增,西部大开发,中药概念,医疗器械概念,独家药品",陕西,373270285.0,373270285.0
sh600081,东风科技,汽车零部件,"长江三角,融资融券,央国企改革,沪股通,无人驾驶,氢能源,新能源车,传感器,汽车热管理,减速器",上海,553026170.0,553026170.0
sh600082,海泰发展,房地产开发,"创投,滨海新区,参股新三板,央国企改革,京津冀,微盘股",天津,646115826.0,634335412.0
sh600084,中信尼雅,酿酒行业,"参股期货,预盈预增,西部大开发,央国企改革,沪股通,乡村振兴,农业种植,2025中报扭亏",新疆,1123726830.0,1123726830.0
sh600085,同仁堂,中药,"HS300_,机构重仓,融资融券,央视50_,上证180_,中药概念,独家药品,央国企改革,沪股通,证金持股,超级品牌,MSCI中国,富时罗素,标准普尔,流感",北京,1371470262.0,1371470262.0
sh600088,中视传媒,文化传媒,"中字头,预亏预减,长江三角,融资融券,央国企改革,旅游概念,沪股通,乡村振兴,影视概念,超清视频,广电,2025中报扭亏",上海,397706400.0,397706400.0
sh600089,特变电工,电网设备,"煤化工,新能源,HS300_,黄金概念,预亏预减,智能电网,太阳能,西部大开发,风能,融资融券,上证180_,充电桩,沪股通,一带一路,雄安新区,MSCI中国,富时罗素,标准普尔,特高压,储能,超超临界发电",新疆,5052792571.0,5052792571.0
sh600094,大名城,房地产开发,"AB股,参股券商,机构重仓,预亏预减,长江三角,融资融券,土地流转,沪股通,富时罗素,标准普尔,破净股,算力概念,低空经济,2025中报预减",上海,2364852045.0,2166131950.0
sh600095,湘财股份,证券,"创投,参股券商,参股银行,预盈预增,融资融券,互联金融,中证500,上证380,沪股通,券商概念,东北振兴,并购重组概念,2025中报预增",黑龙江,2859187743.0,2859187743.0
sh600096,云天化,化肥行业,"煤化工,化工原料,新材料,机构重仓,锂电池,西部大开发,融资融券,央国企改革,氟化工,中证500,上证380,沪股通,一带一路,MSCI中国,碳交易,磷化工",云南,1822990731.0,1822990731.0
sh600097,开创国际,农牧饲渔,"预盈预增,长江三角,海洋经济,沪企改革,央国企改革,水产养殖,微盘股,2025中报扭亏",上海,240936559.0,240936559.0
sh600098,广州发展,电力行业,"新能源,节能环保,机构重仓,太阳能,风能,融资融券,央国企改革,充电桩,中证500,沪股通,可燃冰,天然气,破净股",广东,3506306868.0,3498749964.0
sh600099,林海股份,交运设备,"QFII重仓,长江三角,央国企改革,无人驾驶,微盘股",江苏,219120000.0,219120000.0
sh600100,同方股份,计算机设备,"军工,创投,参股券商,物联网,移动支付,预盈预增,LED,融资融券,智慧城市,大数据,在线教育,国家安防,央国企改革,沪股通,人工智能,军民融合,数字经济,机器人概念,信创,ChatGPT概念,算力概念,数据要素,AI语料",北京,3350297713.0,3350297713.0
sh600101,明星电力,电力行业,"成渝特区,西部大开发,融资融券,央国企改革,充电桩,沪股通,天然气,绿色电力,钒电池",四川,547862471.0,547862471.0
sh600103,青山纸业,造纸印刷,"节能环保,中药概念,央国企改革,沪股通,5G概念,低价股,光通信模块",福建,2253255047.0,2212329047.0
sh600104,上汽集团,汽车整车,"HS300_,机构重仓,预亏预减,长江三角,融资融券,央视50_,上证180_,上海自贸,沪企改革,燃料电池,央国企改革,沪股通,一带一路,证金持股,无人驾驶,超级品牌,MSCI中国,富时罗素,标准普尔,新能源车,半导体概念,车联网(车路云),固态电池,华为汽车,换电概念,破净股",上海,11575299445.0,11575299445.0
sh600105,永鼎股份,通信设备,"预盈预增,长江三角,融资融券,大数据,网络安全,超导概念,沪股通,量子科技,一带一路,5G概念,华为概念,富时罗素,标准普尔,国产芯片,新能源车,磁悬浮概念,专精特新,CPO概念,光通信模块,可控核聚变,2025中报预增",江苏,1461994802.0,1461994802.0
sh600106,重庆路桥,铁路公路,"参股银行,成渝特区,机构重仓,西部大开发,融资融券,页岩气,沪股通,PPP模式,ETC",重庆,1329025062.0,1329025062.0
sh600107,ST尔雅,纺织服装,"ST股,参股期货,天然气,湖北自贸",湖北,360000000.0,360000000.0
sh600108,亚盛集团,农牧饲渔,"参股券商,西部大开发,融资融券,土地流转,央国企改革,沪股通,乡村振兴,农业种植,低价股,啤酒概念,粮食概念",甘肃,1946915121.0,1946915121.0
sh600109,国金证券,证券,"参股期货,成渝特区,预盈预增,西部大开发,融资融券,互联金融,中证500,上证380,沪股通,券商概念,MSCI中国,富时罗素,标准普尔,蚂蚁概念,科创板做市商,2025中报预增",四川,3712559510.0,3712559510.0
sh600110,诺德股份,电池,"创投,新材料,机构重仓,预盈预增,锂电池,核能核电,智能电网,融资融券,特斯拉,超级电容,无人机,沪股通,新能源车,固态电池,复合集流体",吉林,1735180932.0,1735180932.0
sh600111,北方稀土,小金属,"HS300_,稀缺资源,新材料,预盈预增,锂电池,稀土永磁,西部大开发,融资融券,上证180_,央国企改革,小金属概念,沪股通,MSCI中国,富时罗素,标准普尔,2025中报预增",内蒙古,3615065842.0,3615065842.0
sh600113,浙江东日,综合行业,"参股银行,长江三角,融资融券,央国企改革,举牌,沪股通,冷链物流,社区团购,中俄贸易概念",浙江,421176660.0,411431160.0
sh600114,东睦股份,通用设备,"新材料,预盈预增,长江三角,融资融券,3D打印,特斯拉,苹果概念,燃料电池,沪股通,养老金,小米概念,华为概念,标准普尔,柔性屏(折叠屏)",浙江,616383477.0,616383477.0
sh600115,中国东航,航空机场,"AH股,HS300_,机构重仓,预盈预增,融资融券,通用航空,电商概念,央国企改革,沪股通,证金持股,大飞机,MSCI中国,进口博览,富时罗素,标准普尔",上海,22291296570.0,17114518793.0
sh600116,三峡水利,电力行业,"节能环保,参股银行,成渝特区,预亏预减,太阳能,西部大开发,融资融券,央国企改革,上证380,沪股通,标准普尔,绿色电力,2025中报预减",重庆,1912142904.0,1912142904.0
sh600117,西宁特钢,钢铁行业,"军工,煤化工,参股银行,机构重仓,预盈预增,西部大开发,沪股通,雅下水电概念",青海,3255114857.0,3255114857.0
sh600118,中国卫星,航天航空,"军工,中字头,预亏预减,融资融券,北斗导航,央国企改革,中证500,无人机,上证380,沪股通,一带一路,军民融合,大飞机,MSCI中国,富时罗素,标准普尔,国产芯片,卫星互联网,商业航天,空间站概念,时空大数据,中特估,低空经济",北京,1182489135.0,1182489135.0
sh600119,长江投资,物流行业,"预盈预增,长江三角,上海自贸,沪企改革,央国企改革,一带一路,快递概念,统一大市场",上海,365270370.0,365270370.0
sh600120,浙江东方,多元金融,"创投,参股券商,参股期货,预盈预增,长江三角,融资融券,参股新三板,参股保险,央国企改革,IPO受益,上证380,沪股通,量子科技,证金持股,富时罗素,标准普尔,中芯概念,2025中报预增",浙江,3415381492.0,3415381492.0
sh600121,郑州煤电,煤炭行业,"参股券商,稀缺资源,预亏预减,融资融券,央国企改革,沪股通",河南,1218412038.0,1218412038.0
sh600123,兰花科创,煤炭行业,"煤化工,稀缺资源,新材料,预亏预减,融资融券,央国企改革,上证380,沪股通,标准普尔,破净股,2025中报预减",山西,1473240021.0,1473240021.0
sh600125,铁龙物流,物流行业,"铁路基建,融资融券,央国企改革,沪股通,一带一路,养老金,东北振兴,冷链物流,富时罗素,标准普尔,碳交易,快递概念,中俄贸易概念",辽宁,1305521874.0,1305521874.0
sh600126,杭钢股份,钢铁行业,"节能环保,预亏预减,云计算,长江三角,融资融券,土地流转,央国企改革,阿里概念,中证500,沪股通,MSCI中国,数据中心,汽车拆解,国资云概念,DeepSeek概念",浙江,3377189083.0,3377189083.0
sh600127,金健米业,农牧饲渔,"预盈预增,融资融券,电商概念,央国企改革,沪股通,新零售,乳业,预制菜概念,粮食概念,2025中报扭亏",湖南,641783218.0,641783218.0
sh600128,苏豪弘业,贸易行业,"创投,参股期货,黄金概念,长江三角,央国企改革,内贸流通,跨境电商,微盘股",江苏,246767500.0,246767500.0
sh600129,太极集团,中药,"成渝特区,预亏预减,西部大开发,融资融券,中药概念,土地流转,养老概念,病毒防治,央国企改革,阿里概念,上证380,沪股通,人工智能,百度概念,医疗美容,流感,2025中报预减",重庆,556890744.0,556890744.0
sh600130,*ST波导,消费电子,"ST股,机构重仓,预亏预减,长江三角,北斗导航",浙江,750000000.0,750000000.0
sh600131,国网信通,互联网服务,"成渝特区,智能电网,西部大开发,融资融券,央国企改革,国产软件,中证500,上证380,沪股通,数字孪生,富时罗素,UWB概念,数据中心,虚拟电厂,储能,中特估",四川,1199724419.0,1195905149.0
sh600132,重庆啤酒,酿酒行业,"成渝特区,机构重仓,西部大开发,融资融券,中证500,上证380,沪股通,MSCI中国,富时罗素,标准普尔,啤酒概念",重庆,483971198.0,483971198.0
sh600133,东湖高新,工程建设,"节能环保,创投,参股银行,融资融券,参股新三板,央国企改革,沪股通,PPP模式,雄安新区,湖北自贸,REITs概念",湖北,1066239875.0,1066239875.0
sh600135,乐凯胶片,塑料制品,"预亏预减,锂电池,太阳能,融资融券,参股保险,医疗器械概念,央国企改革,京津冀,雄安新区",河北,553307099.0,553307099.0
sh600136,ST明诚,文化传媒,"ST股,参股券商,预盈预增,央国企改革,影视概念,标准普尔,低价股,2025中报扭亏",湖北,2040825931.0,1943089494.0
sh600137,浪莎股份,纺织服装,"西部大开发,微盘股",四川,97217588.0,97217588.0
sh600138,中青旅,旅游酒店,"中字头,融资融券,参股新三板,电商概念,彩票概念,央国企改革,旅游概念,沪股通,富时罗素,标准普尔,冰雪经济",北京,723840000.0,723840000.0
sh600141,兴发集团,化肥行业,"化工原料,稀缺资源,参股银行,转债标的,融资融券,央国企改革,氟化工,中证500,上证380,沪股通,MSCI中国,氢能源,富时罗素,标准普尔,消毒剂,半导体概念,湖北自贸,中芯概念,草甘膦,有机硅,磷化工",湖北,1103255933.0,1103255933.0
sh600143,金发科技,塑料制品,"新材料,预盈预增,锂电池,太阳能,融资融券,参股保险,特斯拉,医疗器械概念,中证500,沪股通,5G概念,氢能源,富时罗素,垃圾分类,降解塑料,固态电池,储能,机器人概念,PEEK材料概念,碳纤维,合成生物,2025中报预增",广东,2636612697.0,2597225566.0
sh600148,长春一东,汽车零部件,"军工,机构重仓,预盈预增,央国企改革,无人机,一带一路,东北振兴,2025中报预增",吉林,141516450.0,141516450.0
sh600149,廊坊发展,电力行业,"预盈预增,土地流转,央国企改革,京津冀,股权转让,雄安新区,微盘股,2025中报预增",河北,380160000.0,380160000.0
sh600150,中国船舶,船舶制造,"军工,HS300_,中字头,预盈预增,风能,融资融券,海工装备,上证50_,上证180_,海洋经济,央国企改革,IPO受益,沪股通,一带一路,航母概念,军民融合,MSCI中国,中特估,并购重组概念,2025中报预增",上海,4472428758.0,4472428758.0
sh600151,航天机电,光伏设备,"军工,新能源,预亏预减,锂电池,太阳能,长江三角,融资融券,央国企改革,IPO受益,沪股通,军民融合,HIT电池",上海,1434252287.0,1434252287.0
sh600152,维科技术,电池,"预亏预减,锂电池,长江三角,华为汽车,钠离子电池,储能",浙江,529079375.0,529079375.0
sh600153,建发股份,贸易行业,"融资融券,电商概念,央国企改革,中证500,上证380,沪股通,MSCI中国,养老金,富时罗素,标准普尔,白酒,内贸流通,破净股,小米汽车",福建,2899538551.0,2899538551.0
sh600155,华创云信,证券,"参股券商,新材料,参股银行,预盈预增,融资融券,互联金融,京津冀,中证500,沪股通,券商概念,富时罗素,数字经济,破净股,2025中报预增",北京,2213542477.0,2213542477.0
sh600156,华升股份,纺织服装,"预亏预减,电商概念,医疗器械概念,央国企改革,贬值受益,并购重组概念",湖南,402110702.0,402110702.0
sh600157,永泰能源,电力行业,"煤化工,物联网,预亏预减,核能核电,太阳能,融资融券,页岩气,参股保险,中证500,上证380,沪股通,一带一路,MSCI中国,储能,低价股,钒电池,破净股,2025中报预减",山西,21817764145.0,21817764145.0
sh600158,中体产业,文化传媒,"中字头,预亏预减,融资融券,彩票概念,央国企改革,沪股通,体育产业,数据中心,NFT概念,职业教育,冰雪经济,首发经济",天津,959513067.0,959513067.0
sh600159,大龙地产,房地产开发,"参股银行,央国企改革,京津冀,低价股,微盘股",北京,830003232.0,830003232.0
sh600160,巨化股份,化学制品,"HS300_,创投,化工原料,预盈预增,锂电池,长江三角,融资融券,上证180_,央国企改革,氟化工,沪股通,MSCI中国,富时罗素,标准普尔,国产芯片,消毒剂,半导体概念,中芯概念,碳交易,工业气体,PVDF概念,液冷概念,2025中报预增",浙江,2699746081.0,2699746081.0
sh600161,天坛生物,生物制品,"HS300_,融资融券,病毒防治,央国企改革,上证380,沪股通,MSCI中国,富时罗素,标准普尔",北京,1977371446.0,1977371446.0
sh600162,香江控股,房地产开发,"深圳特区,预亏预减,融资融券,养老概念,粤港自贸,沪股通,富时罗素,标准普尔,低价股,破净股",广东,3268438122.0,3268438122.0
sh600163,中闽能源,电力行业,"新能源,机构重仓,太阳能,风能,融资融券,央国企改革,充电桩,沪股通,化债(AMC)概念,绿色电力",福建,1902996143.0,1902996143.0
sh600165,ST宁科,化学制品,"节能环保,ST股,新材料,参股银行,预盈预增",宁夏,684883775.0,684883775.0
sh600166,福田汽车,汽车整车,"军工,预盈预增,融资融券,智慧城市,大数据,燃料电池,央国企改革,中证500,沪股通,无人驾驶,工业互联,百度概念,冷链物流,华为概念,氢能源,新能源车,车联网(车路云),地摊经济,固态电池,华为汽车,低价股,2025中报预增",北京,7917400367.0,6488828939.0
sh600167,联美控股,公用事业,"节能环保,融资融券,参股保险,沪股通,东北振兴,华为概念,氢能源,富时罗素,标准普尔,空气能热泵",辽宁,2262840463.0,2262840463.0
sh600168,武汉控股,公用事业,"节能环保,融资融券,央国企改革,PPP模式,海绵城市,绿色电力,破净股",湖北,993397569.0,993397569.0
sh600169,太原重工,专用设备,"核能核电,铁路基建,风能,融资融券,央国企改革,沪股通,低价股",山西,3347103170.0,3333141500.0
sh600170,上海建工,工程建设,"参股券商,参股银行,黄金概念,核能核电,长江三角,融资融券,央国企改革,中证500,上证380,沪股通,一带一路,证金持股,PPP模式,人工智能,雄安新区,MSCI中国,工业互联,富时罗素,标准普尔,装配建筑,低价股,机器人概念,破净股,房屋检测",上海,8885939744.0,8885939744.0
sh600171,上海贝岭,半导体,"参股券商,物联网,预盈预增,LED,智能电网,长江三角,融资融券,参股新三板,央国企改革,充电桩,中证500,上证380,沪股通,华为概念,富时罗素,标准普尔,国产芯片,无线耳机,半导体概念,第三代半导体,IGBT概念,光通信模块,存储芯片",上海,708923303.0,708923303.0
sh600172,黄河旋风,非金属材料,"军工,节能环保,新材料,预亏预减,融资融券,央国企改革,沪股通,标准普尔,培育钻石",河南,1442184476.0,1276255750.0
sh600173,卧龙新能,房地产开发,"新能源,网络游戏,预亏预减,稀土永磁,太阳能,长江三角,风能,氢能源,储能",浙江,700506244.0,700416244.0
sh600176,中国巨石,玻璃玻纤,"HS300_,中字头,新材料,QFII重仓,预盈预增,风能,融资融券,上证180_,央国企改革,沪股通,一带一路,MSCI中国,富时罗素,标准普尔,2025中报预增",浙江,4003136728.0,4003136728.0
sh600177,雅戈尔,纺织服装,"参股银行,机构重仓,融资融券,参股保险,互联金融,养老概念,电商概念,中证500,上证380,沪股通,证金持股,MSCI中国,工业大麻,富时罗素,C2M概念,破净股",浙江,4623441902.0,4623441902.0
sh600178,东安动力,汽车零部件,"节能环保,机构重仓,预亏预减,央国企改革,沪股通,东北振兴,华为概念,新能源车,飞行汽车(eVTOL),低空经济,2025中报扭亏",黑龙江,466476161.0,466476161.0
sh600179,安通控股,物流行业,"预盈预增,融资融券,沪股通,区块链,统一大市场,2025中报预增",黑龙江,4231526979.0,3744236495.0
sh600180,瑞茂通,物流行业,"参股银行,预亏预减,融资融券,互联金融,电商概念,沪股通,一带一路,富时罗素,标准普尔,内贸流通,破净股,2025中报预减",山东,1086627464.0,1086627464.0
sh600182,S佳通,橡胶制品,东北振兴,黑龙江,340000000.0,170000000.0
sh600183,生益科技,电子元件,"HS300_,QFII重仓,预盈预增,融资融券,上证180_,沪股通,5G概念,MSCI中国,华为概念,富时罗素,PCB,标准普尔,2025中报预增",广东,2429262930.0,2394501544.0
